# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-07 06:38:53 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02169000 SALUDA RIVER NEAR COLUMBIA, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02169000
#    DD parameter   Description
#    01   00060     Discharge, cubic feet per second
#    02   00065     Gage height, feet
#    03   00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#    04   00010     Temperature, water, degrees Celsius
#    23   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd	02_00065	02_00065_cd	03_00300	03_00300_cd	04_00010	04_00010_cd	23_00095	23_00095_cd
USGS	02169000	2016-01-01 03:00	EST	19800	P	8.17	P	7.5	P	14.7	P	72	P
USGS	02169000	2016-01-01 03:15	EST	19700	P	8.14	P	7.5	P	14.7	P	72	P
USGS	02169000	2016-01-01 03:30	EST	19500	P	8.11	P	7.5	P	14.7	P	72	P
USGS	02169000	2016-01-01 03:45	EST	19300	P	8.07	P	7.5	P	14.7	P	72	P
USGS	02169000	2016-01-01 04:00	EST	19200	P	8.04	P	7.6	P	14.7	P	72	P
USGS	02169000	2016-01-01 04:15	EST	19200	P	8.05	P	7.5	P	14.7	P	72	P
USGS	02169000	2016-01-01 04:30	EST	19200	P	8.04	P	7.5	P	14.6	P	72	P
USGS	02169000	2016-01-01 04:45	EST	19000	P	8.01	P	7.5	P	14.6	P	72	P
USGS	02169000	2016-01-01 05:00	EST	19000	P	8.01	P	7.5	P	14.6	P	72	P
USGS	02169000	2016-01-01 05:15	EST	18800	P	7.96	P	7.5	P	14.6	P	71	P
USGS	02169000	2016-01-01 05:30	EST	18800	P	7.96	P	7.5	P	14.6	P	71	P
USGS	02169000	2016-01-01 05:45	EST	18900	P	7.98	P	7.5	P	14.6	P	71	P
USGS	02169000	2016-01-01 06:00	EST	18800	P	7.96	P	7.5	P	14.6	P	72	P
USGS	02169000	2016-01-01 06:15	EST	18800	P	7.97	P	7.5	P	14.6	P	71	P
USGS	02169000	2016-01-01 06:30	EST	18500	P	7.90	P	7.5	P	14.6	P	71	P
USGS	02169000	2016-01-01 06:45	EST	18600	P	7.92	P	7.5	P	14.6	P	71	P
USGS	02169000	2016-01-01 07:00	EST	18500	P	7.90	P	7.5	P	14.5	P	71	P
USGS	02169000	2016-01-01 07:15	EST	18400	P	7.88	P	7.5	P	14.5	P	71	P
USGS	02169000	2016-01-01 07:30	EST	18400	P	7.89	P	7.5	P	14.5	P	71	P
USGS	02169000	2016-01-01 07:45	EST	18300	P	7.87	P	7.5	P	14.5	P	71	P
USGS	02169000	2016-01-01 08:00	EST	18200	P	7.85	P	7.5	P	14.5	P	71	P
USGS	02169000	2016-01-01 08:15	EST	18400	P	7.89	P	7.5	P	14.5	P	71	P
USGS	02169000	2016-01-01 08:30	EST	18300	P	7.86	P	7.5	P	14.5	P	71	P
USGS	02169000	2016-01-01 08:45	EST	18400	P	7.88	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 09:00	EST	18400	P	7.88	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 09:15	EST	18200	P	7.85	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 09:30	EST	18300	P	7.87	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 09:45	EST	18400	P	7.89	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 10:00	EST	18200	P	7.84	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 10:15	EST	18200	P	7.84	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 10:30	EST	18400	P	7.88	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 10:45	EST	18200	P	7.84	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 11:00	EST	18200	P	7.84	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 11:15	EST	18300	P	7.86	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 11:30	EST	18300	P	7.86	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 11:45	EST	18300	P	7.86	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 12:00	EST	18200	P	7.85	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 12:15	EST	18200	P	7.84	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 12:30	EST	18200	P	7.85	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 12:45	EST	18100	P	7.83	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 13:00	EST	18100	P	7.83	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 13:15	EST	18300	P	7.86	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 13:30	EST	18600	P	7.93	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 13:45	EST	19100	P	8.02	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 14:00	EST	19600	P	8.12	P	7.6	P	14.5	P	71	P
USGS	02169000	2016-01-01 14:15	EST	20400	P	8.26	P	7.5	P	14.5	P	71	P
USGS	02169000	2016-01-01 14:30	EST	20800	P	8.34	P	7.5	P	14.5	P	71	P
USGS	02169000	2016-01-01 14:45	EST	21400	P	8.46	P	7.7	P	14.5	P	71	P
USGS	02169000	2016-01-01 15:00	EST	21800	P	8.52	P	8.0	P	14.7	P	71	P
USGS	02169000	2016-01-01 15:15	EST	22400	P	8.64	P	8.2	P	14.8	P	71	P
USGS	02169000	2016-01-01 15:30	EST	23100	P	8.75	P	8.3	P	14.8	P	71	P
USGS	02169000	2016-01-01 15:45	EST	23900	P	8.89	P	8.3	P	14.8	P	71	P
USGS	02169000	2016-01-01 16:00	EST	24300	P	8.97	P	8.3	P	14.8	P	71	P
USGS	02169000	2016-01-01 16:15	EST	25000	P	9.10	P	8.3	P	14.8	P	71	P
USGS	02169000	2016-01-01 16:30	EST	26000	P	9.28	P	8.4	P	14.9	P	72	P
USGS	02169000	2016-01-01 16:45	EST	26600	P	9.38	P	8.6	P	15.0	P	73	P
USGS	02169000	2016-01-01 17:00	EST	27100	P	9.48	P	8.8	P	15.0	P	73	P
USGS	02169000	2016-01-01 17:15	EST	27700	P	9.59	P	9.0	P	15.1	P	73	P
USGS	02169000	2016-01-01 17:30	EST	28500	P	9.72	P	9.1	P	15.1	P	72	P
USGS	02169000	2016-01-01 17:45	EST	29600	P	9.92	P	9.1	P	15.1	P	70	P
USGS	02169000	2016-01-01 18:00	EST	29600	P	9.91	P	9.1	P	15.1	P	72	P
USGS	02169000	2016-01-01 18:15	EST	30200	P	10.02	P	9.1	P	15.1	P	72	P
USGS	02169000	2016-01-01 18:30	EST	30500	P	10.07	P	9.1	P	15.1	P	70	P
USGS	02169000	2016-01-01 18:45	EST	31500	P	10.23	P	9.1	P	15.2	P	74	P
USGS	02169000	2016-01-01 19:00	EST	31800	P	10.29	P	9.1	P	15.2	P	73	P
USGS	02169000	2016-01-01 19:15	EST	32200	P	10.36	P	9.1	P	15.2	P	73	P
USGS	02169000	2016-01-01 19:30	EST	32700	P	10.43	P	9.1	P	15.2	P	73	P
USGS	02169000	2016-01-01 19:45	EST	33000	P	10.48	P	9.1	P	15.2	P	73	P
USGS	02169000	2016-01-01 20:00	EST	33700	P	10.60	P	9.1	P	15.2	P	73	P
USGS	02169000	2016-01-01 20:15	EST	34000	P	10.65	P	9.1	P	15.2	P	74	P
USGS	02169000	2016-01-01 20:30	EST	34300	P	10.70	P	9.1	P	15.2	P	73	P
USGS	02169000	2016-01-01 20:45	EST	34700	P	10.76	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 21:00	EST	35000	P	10.80	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 21:15	EST	35200	P	10.83	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 21:30	EST	35400	P	10.87	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 21:45	EST	35500	P	10.88	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 22:00	EST	36000	P	10.96	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 22:15	EST	36000	P	10.97	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 22:30	EST	36200	P	10.99	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 22:45	EST	36600	P	11.06	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 23:00	EST	36400	P	11.02	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 23:15	EST	36700	P	11.07	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 23:30	EST	36700	P	11.07	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-01 23:45	EST	36900	P	11.10	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-02 00:00	EST	37100	P	11.13	P	9.0	P	15.2	P	73	P
USGS	02169000	2016-01-02 00:15	EST	37100	P	11.14	P	9.0	P	15.2	P	72	P
USGS	02169000	2016-01-02 00:30	EST	37500	P	11.19	P	9.0	P	15.2	P	72	P
USGS	02169000	2016-01-02 00:45	EST	36800	P	11.09	P	9.0	P	15.2	P	72	P
USGS	02169000	2016-01-02 01:00	EST	37100	P	11.13	P	9.0	P	15.2	P	72	P
USGS	02169000	2016-01-02 01:15	EST	37100	P	11.13	P	8.9	P	15.1	P	72	P
USGS	02169000	2016-01-02 01:30	EST	37100	P	11.13	P	8.9	P	15.1	P	73	P
USGS	02169000	2016-01-02 01:45	EST	36500	P	11.04	P	8.9	P	15.1	P	72	P
USGS	02169000	2016-01-02 02:00	EST	36700	P	11.07	P	8.8	P	15.1	P	73	P
USGS	02169000	2016-01-02 02:15	EST	36200	P	11.00	P	8.8	P	15.0	P	72	P
USGS	02169000	2016-01-02 02:30	EST	36000	P	10.97	P	8.8	P	15.0	P	72	P
USGS	02169000	2016-01-02 02:45	EST	35900	P	10.94	P	8.8	P	15.0	P	73	P
USGS	02169000	2016-01-02 03:00	EST	35900	P	10.95	P	8.8	P	15.0	P	72	P
USGS	02169000	2016-01-02 03:15	EST	35600	P	10.90	P	8.8	P	15.0	P	73	P
USGS	02169000	2016-01-02 03:30	EST	35300	P	10.85	P	8.8	P	15.0	P	72	P
USGS	02169000	2016-01-02 03:45	EST	35200	P	10.83	P	8.8	P	15.0	P	73	P
USGS	02169000	2016-01-02 04:00	EST	35400	P	10.87	P	8.8	P	15.0	P	72	P
USGS	02169000	2016-01-02 04:15	EST	35500	P	10.88	P	8.8	P	15.0	P	72	P
USGS	02169000	2016-01-02 04:30	EST	35000	P	10.81	P	8.8	P	15.0	P	73	P
USGS	02169000	2016-01-02 04:45	EST	34800	P	10.78	P	8.8	P	15.0	P	73	P
USGS	02169000	2016-01-02 05:00	EST	35000	P	10.81	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 05:15	EST	34800	P	10.78	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 05:30	EST	34500	P	10.73	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 05:45	EST	34500	P	10.72	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 06:00	EST	34400	P	10.71	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 06:15	EST	34300	P	10.69	P	8.8	P	14.9	P	72	P
USGS	02169000	2016-01-02 06:30	EST	34500	P	10.72	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 06:45	EST	34100	P	10.66	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 07:00	EST	34700	P	10.76	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 07:15	EST	34500	P	10.72	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 07:30	EST	34500	P	10.72	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 07:45	EST	34100	P	10.67	P	8.8	P	14.9	P	72	P
USGS	02169000	2016-01-02 08:00	EST	33900	P	10.63	P	8.8	P	14.9	P	73	P
USGS	02169000	2016-01-02 08:15	EST	33500	P	10.57	P	8.8	P	14.8	P	72	P
USGS	02169000	2016-01-02 08:30	EST	33400	P	10.55	P	8.7	P	14.8	P	72	P
USGS	02169000	2016-01-02 08:45	EST	33100	P	10.50	P	8.6	P	14.8	P	72	P
USGS	02169000	2016-01-02 09:00	EST	32800	P	10.45	P	8.5	P	14.8	P	72	P
USGS	02169000	2016-01-02 09:15	EST	32400	P	10.38	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 09:30	EST	31900	P	10.30	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 09:45	EST	32100	P	10.33	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 10:00	EST	32100	P	10.33	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 10:15	EST	31900	P	10.31	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 10:30	EST	31600	P	10.25	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 10:45	EST	31400	P	10.22	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 11:00	EST	31500	P	10.23	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 11:15	EST	30900	P	10.13	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 11:30	EST	30700	P	10.11	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 11:45	EST	30500	P	10.07	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 12:00	EST	30600	P	10.09	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 12:15	EST	30600	P	10.08	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 12:30	EST	30400	P	10.06	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 12:45	EST	30100	P	10.00	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 13:00	EST	30300	P	10.03	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 13:15	EST	30100	P	10.01	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 13:30	EST	30100	P	10.00	P	8.4	P	14.7	P	72	P
USGS	02169000	2016-01-02 13:45	EST	29600	P	9.91	P	8.5	P	14.7	P	71	P
USGS	02169000	2016-01-02 14:00	EST	30000	P	9.99	P	8.5	P	14.7	P	71	P
USGS	02169000	2016-01-02 14:15	EST	29800	P	9.95	P	8.5	P	14.7	P	71	P
USGS	02169000	2016-01-02 14:30	EST	29600	P	9.91	P	8.5	P	14.7	P	70	P
USGS	02169000	2016-01-02 14:45	EST	29900	P	9.96	P	8.5	P	14.8	P	72	P
USGS	02169000	2016-01-02 15:00	EST	29500	P	9.90	P	8.5	P	14.8	P	71	P
USGS	02169000	2016-01-02 15:15	EST	29600	P	9.92	P	8.5	P	14.8	P	70	P
USGS	02169000	2016-01-02 15:30	EST	29700	P	9.93	P	8.5	P	14.7	P	71	P
USGS	02169000	2016-01-02 15:45	EST	29600	P	9.91	P	8.5	P	14.7	P	71	P
USGS	02169000	2016-01-02 16:00	EST	29300	P	9.87	P	8.5	P	14.7	P	70	P
USGS	02169000	2016-01-02 16:15	EST	29300	P	9.87	P	8.5	P	14.7	P	71	P
USGS	02169000	2016-01-02 16:30	EST	29200	P	9.85	P	8.5	P	14.7	P	70	P
USGS	02169000	2016-01-02 16:45	EST	29400	P	9.89	P	8.5	P	14.7	P	70	P
USGS	02169000	2016-01-02 17:00	EST	29300	P	9.87	P	8.5	P	14.7	P	70	P
USGS	02169000	2016-01-02 17:15	EST	29300	P	9.87	P	8.5	P	14.7	P	71	P
USGS	02169000	2016-01-02 17:30	EST	29200	P	9.85	P	8.5	P	14.7	P	71	P
USGS	02169000	2016-01-02 17:45	EST	29300	P	9.86	P	8.5	P	14.7	P	71	P
USGS	02169000	2016-01-02 18:00	EST	28900	P	9.80	P	8.5	P	14.7	P	71	P
USGS	02169000	2016-01-02 18:15	EST	29000	P	9.81	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 18:30	EST	29200	P	9.85	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 18:45	EST	29200	P	9.85	P	8.5	P	14.7	P	73	P
USGS	02169000	2016-01-02 19:00	EST	28900	P	9.79	P	8.5	P	14.7	P	73	P
USGS	02169000	2016-01-02 19:15	EST	29100	P	9.83	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 19:30	EST	29000	P	9.81	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 19:45	EST	28800	P	9.78	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 20:00	EST	28600	P	9.74	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 20:15	EST	28900	P	9.80	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 20:30	EST	29200	P	9.84	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 20:45	EST	28900	P	9.80	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 21:00	EST	29000	P	9.81	P	8.5	P	14.7	P	73	P
USGS	02169000	2016-01-02 21:15	EST	29000	P	9.82	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 21:30	EST	29000	P	9.82	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 21:45	EST	28900	P	9.79	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 22:00	EST	28900	P	9.79	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 22:15	EST	28600	P	9.74	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 22:30	EST	28900	P	9.79	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 22:45	EST	28800	P	9.78	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 23:00	EST	28800	P	9.78	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 23:15	EST	28600	P	9.75	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 23:30	EST	28800	P	9.77	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-02 23:45	EST	28900	P	9.80	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 00:00	EST	28800	P	9.77	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 00:15	EST	28700	P	9.76	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 00:30	EST	28800	P	9.78	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 00:45	EST	28800	P	9.77	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 01:00	EST	28900	P	9.80	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 01:15	EST	28900	P	9.79	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 01:30	EST	29000	P	9.82	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 01:45	EST	28600	P	9.75	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 02:00	EST	29000	P	9.81	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 02:15	EST	28800	P	9.77	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 02:30	EST	28500	P	9.73	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 02:45	EST	28400	P	9.70	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 03:00	EST	28200	P	9.67	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 03:15	EST	27800	P	9.60	P	8.5	P	14.7	P	72	P
USGS	02169000	2016-01-03 03:30	EST	27200	P	9.50	P	8.5	P	14.6	P	72	P
USGS	02169000	2016-01-03 03:45	EST	26900	P	9.44	P	8.4	P	14.6	P	72	P
USGS	02169000	2016-01-03 04:00	EST	26400	P	9.36	P	8.2	P	14.5	P	72	P
USGS	02169000	2016-01-03 04:15	EST	26100	P	9.29	P	8.0	P	14.5	P	72	P
USGS	02169000	2016-01-03 04:30	EST	26000	P	9.27	P	7.9	P	14.4	P	72	P
USGS	02169000	2016-01-03 04:45	EST	25400	P	9.17	P	7.9	P	14.4	P	72	P
USGS	02169000	2016-01-03 05:00	EST	25100	P	9.12	P	7.8	P	14.4	P	72	P
USGS	02169000	2016-01-03 05:15	EST	24900	P	9.07	P	7.8	P	14.4	P	72	P
USGS	02169000	2016-01-03 05:30	EST	24600	P	9.01	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 05:45	EST	24200	P	8.94	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 06:00	EST	23600	P	8.84	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 06:15	EST	23400	P	8.81	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 06:30	EST	23200	P	8.77	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 06:45	EST	23100	P	8.76	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 07:00	EST	22600	P	8.68	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 07:15	EST	22500	P	8.65	P	7.8	P	14.3	P	70	P
USGS	02169000	2016-01-03 07:30	EST	22500	P	8.66	P	7.8	P	14.3	P	70	P
USGS	02169000	2016-01-03 07:45	EST	22500	P	8.65	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 08:00	EST	22000	P	8.57	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 08:15	EST	22000	P	8.56	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 08:30	EST	21800	P	8.52	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 08:45	EST	21800	P	8.53	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 09:00	EST	21600	P	8.49	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 09:15	EST	21400	P	8.46	P	7.8	P	14.3	P	71	P
USGS	02169000	2016-01-03 09:30	EST	21500	P	8.47	P	7.8	P	14.4	P	71	P
USGS	02169000	2016-01-03 09:45	EST	21200	P	8.42	P	7.8	P	14.4	P	71	P
USGS	02169000	2016-01-03 10:00	EST	21500	P	8.47	P	7.8	P	14.4	P	71	P
USGS	02169000	2016-01-03 10:15	EST	21200	P	8.42	P	7.8	P	14.4	P	71	P
USGS	02169000	2016-01-03 10:30	EST	21200	P	8.41	P	7.8	P	14.4	P	70	P
USGS	02169000	2016-01-03 10:45	EST	20900	P	8.36	P	7.8	P	14.4	P	70	P
USGS	02169000	2016-01-03 11:00	EST	21100	P	8.39	P	7.8	P	14.4	P	70	P
USGS	02169000	2016-01-03 11:15	EST	21100	P	8.40	P	7.8	P	14.4	P	71	P
USGS	02169000	2016-01-03 11:30	EST	20800	P	8.35	P	7.8	P	14.4	P	70	P
USGS	02169000	2016-01-03 11:45	EST	20900	P	8.37	P	7.8	P	14.4	P	70	P
USGS	02169000	2016-01-03 12:00	EST	20900	P	8.37	P	7.8	P	14.5	P	69	P
USGS	02169000	2016-01-03 12:15	EST	20900	P	8.36	P	7.8	P	14.5	P	68	P
USGS	02169000	2016-01-03 12:30	EST	20800	P	8.35	P	7.8	P	14.5	P	68	P
USGS	02169000	2016-01-03 12:45	EST	20700	P	8.33	P	7.8	P	14.5	P	67	P
USGS	02169000	2016-01-03 13:00	EST	20900	P	8.37	P	7.8	P	14.5	P	66	P
USGS	02169000	2016-01-03 13:15	EST	20800	P	8.34	P	7.8	P	14.5	P	65	P
USGS	02169000	2016-01-03 13:30	EST	20900	P	8.36	P	7.8	P	14.5	P	65	P
USGS	02169000	2016-01-03 13:45	EST	20800	P	8.34	P	7.8	P	14.5	P	63	P
USGS	02169000	2016-01-03 14:00	EST	20600	P	8.31	P	7.8	P	14.6	P	63	P
USGS	02169000	2016-01-03 14:15	EST	20800	P	8.35	P	7.8	P	14.6	P	63	P
USGS	02169000	2016-01-03 14:30	EST	20800	P	8.34	P	7.8	P	14.6	P	62	P
USGS	02169000	2016-01-03 14:45	EST	20700	P	8.33	P	7.8	P	14.6	P	62	P
USGS	02169000	2016-01-03 15:00	EST	20700	P	8.33	P	7.8	P	14.6	P	62	P
USGS	02169000	2016-01-03 15:15	EST	20700	P	8.32	P	7.8	P	14.6	P	62	P
USGS	02169000	2016-01-03 15:30	EST	20700	P	8.33	P	7.8	P	14.6	P	62	P
USGS	02169000	2016-01-03 15:45	EST	20600	P	8.31	P	7.8	P	14.6	P	61	P
USGS	02169000	2016-01-03 16:00	EST	20600	P	8.30	P	7.8	P	14.6	P	61	P
USGS	02169000	2016-01-03 16:15	EST	20700	P	8.32	P	7.8	P	14.6	P	60	P
